# t[days] u g r i z y J H K
0.20202 -10.988 -11.282 -11.096 -10.106 -11.239 -10.911 -7.320 -6.074 -3.876 
0.40404 -13.475 -14.258 -14.878 -14.620 -14.081 -13.437 -13.267 -13.181 -9.568 
0.60606 -14.452 -15.374 -15.663 -15.270 -15.253 -14.839 -14.788 -14.272 -13.785 
0.80808 -14.519 -15.579 -15.981 -15.995 -15.545 -15.831 -15.530 -14.687 -13.674 
1.01010 -14.377 -15.746 -16.203 -16.072 -15.989 -15.922 -15.602 -15.253 -15.304 
1.21212 -14.305 -15.763 -16.197 -16.234 -16.204 -16.005 -15.873 -15.746 -15.171 
1.41414 -13.900 -15.627 -16.190 -16.181 -16.288 -16.310 -15.921 -15.607 -15.601 
1.61616 -13.522 -15.481 -16.087 -16.140 -16.171 -16.124 -16.054 -15.866 -15.594 
1.81818 -13.260 -15.187 -15.957 -16.074 -16.139 -15.892 -15.971 -15.927 -15.532 
2.02020 -12.435 -14.935 -15.678 -15.823 -15.860 -15.818 -15.928 -15.934 -15.511 
2.22222 -12.297 -14.598 -15.421 -15.628 -15.740 -15.873 -15.716 -15.706 -15.442 
2.42424 -11.985 -14.226 -15.083 -15.398 -15.523 -15.800 -15.629 -15.759 -15.410 
2.62626 -11.579 -13.912 -14.779 -15.156 -15.354 -15.437 -15.540 -15.515 -15.436 
2.82828 -11.213 -13.573 -14.447 -14.789 -15.088 -15.239 -15.385 -15.560 -15.156 
3.03030 -10.998 -13.161 -14.273 -14.615 -14.979 -15.210 -15.131 -15.310 -15.291 
3.23232 -10.909 -13.026 -13.852 -14.535 -14.892 -15.096 -15.009 -15.236 -14.967 
3.43434 -10.657 -12.599 -13.719 -14.188 -14.724 -14.820 -15.076 -15.105 -15.017 
3.63636 -10.385 -12.451 -13.533 -14.150 -14.615 -14.792 -14.878 -15.070 -14.922 
3.83838 -10.289 -12.253 -13.394 -14.082 -14.469 -14.574 -14.756 -15.014 -14.976 
4.04040 -9.999 -11.885 -13.063 -13.876 -14.461 -14.621 -14.615 -14.881 -14.906 
4.24242 -10.002 -11.967 -13.018 -13.744 -14.219 -14.570 -14.635 -14.832 -14.792 
4.44444 -9.697 -11.710 -12.763 -13.593 -14.177 -14.304 -14.523 -14.741 -14.888 
4.64646 -9.393 -11.508 -12.706 -13.391 -14.045 -14.323 -14.489 -14.552 -14.683 
4.84848 -9.348 -11.546 -12.625 -13.481 -14.051 -14.299 -14.367 -14.533 -14.721 
5.05051 -9.126 -11.335 -12.467 -13.184 -13.784 -14.106 -14.346 -14.480 -14.507 
5.25253 -8.997 -11.095 -12.153 -13.066 -13.770 -14.121 -14.223 -14.418 -14.524 
5.45455 -8.932 -11.030 -12.075 -13.042 -13.627 -13.886 -14.087 -14.272 -14.512 
5.65657 -8.611 -10.623 -11.849 -12.883 -13.611 -13.936 -14.096 -14.243 -14.333 
5.85859 -8.665 -10.677 -12.077 -12.857 -13.475 -13.862 -13.988 -14.131 -14.370 
6.06061 -8.373 -10.504 -11.740 -12.636 -13.343 -13.722 -13.971 -14.083 -14.208 
6.26263 -8.308 -10.347 -11.487 -12.594 -13.349 -13.630 -13.810 -14.020 -14.156 
6.46465 -7.963 -9.931 -11.440 -12.404 -13.172 -13.540 -13.772 -13.975 -14.261 
6.66667 -7.899 -9.900 -11.422 -12.429 -13.141 -13.492 -13.741 -13.892 -14.033 
