#time magniutde filter
-62.0 23.69 g
-62.0 24.63 i
-62.0 24.22 r
-62.0 23.18 u
-62.0 25.17 y
-62.0 24.93 z
-61.0 23.41 g
-61.0 24.35 i
-61.0 23.94 r
-61.0 22.9 u
-61.0 24.89 y
-61.0 24.65 z
-60.0 23.12 g
-60.0 24.06 i
-60.0 23.66 r
-60.0 22.62 u
-60.0 24.6 y
-60.0 24.37 z
-59.0 22.86 g
-59.0 23.8 i
-59.0 23.4 r
-59.0 22.36 u
-59.0 24.34 y
-59.0 24.1 z
-58.0 22.63 g
-58.0 23.56 i
-58.0 23.16 r
-58.0 22.12 u
-58.0 24.1 y
-58.0 23.86 z
-57.0 22.4 g
-57.0 23.33 i
-57.0 22.93 r
-57.0 21.9 u
-57.0 23.87 y
-57.0 23.64 z
-56.0 22.19 g
-56.0 23.12 i
-56.0 22.72 r
-56.0 21.69 u
-56.0 23.66 y
-56.0 23.42 z
-55.0 21.99 g
-55.0 22.92 i
-55.0 22.52 r
-55.0 21.49 u
-55.0 23.46 y
-55.0 23.22 z
-54.0 21.8 g
-54.0 22.73 i
-54.0 22.33 r
-54.0 21.31 u
-54.0 23.27 y
-54.0 23.03 z
-53.0 21.63 g
-53.0 22.56 i
-53.0 22.16 r
-53.0 21.14 u
-53.0 23.09 y
-53.0 22.86 z
-52.0 21.47 g
-52.0 22.39 i
-52.0 21.99 r
-52.0 20.97 u
-52.0 22.92 y
-52.0 22.69 z
-51.0 21.32 g
-51.0 22.24 i
-51.0 21.84 r
-51.0 20.82 u
-51.0 22.77 y
-51.0 22.54 z
-50.0 21.17 g
-50.0 22.09 i
-50.0 21.7 r
-50.0 20.68 u
-50.0 22.62 y
-50.0 22.39 z
-49.0 21.04 g
-49.0 21.95 i
-49.0 21.56 r
-49.0 20.55 u
-49.0 22.48 y
-49.0 22.25 z
-48.0 20.91 g
-48.0 21.82 i
-48.0 21.43 r
-48.0 20.42 u
-48.0 22.36 y
-48.0 22.12 z
-47.0 20.79 g
-47.0 21.7 i
-47.0 21.31 r
-47.0 20.3 u
-47.0 22.23 y
-47.0 22.0 z
-46.0 20.68 g
-46.0 21.59 i
-46.0 21.2 r
-46.0 20.19 u
-46.0 22.12 y
-46.0 21.89 z
-45.0 20.57 g
-45.0 21.48 i
-45.0 21.09 r
-45.0 20.09 u
-45.0 22.01 y
-45.0 21.78 z
-44.0 20.47 g
-44.0 21.38 i
-44.0 20.99 r
-44.0 19.99 u
-44.0 21.91 y
-44.0 21.68 z
-43.0 20.38 g
-43.0 21.29 i
-43.0 20.9 r
-43.0 19.9 u
-43.0 21.81 y
-43.0 21.58 z
-42.0 20.29 g
-42.0 21.2 i
-42.0 20.81 r
-42.0 19.81 u
-42.0 21.72 y
-42.0 21.49 z
-41.0 20.21 g
-41.0 21.11 i
-41.0 20.72 r
-41.0 19.73 u
-41.0 21.64 y
-41.0 21.41 z
-40.0 20.13 g
-40.0 21.03 i
-40.0 20.64 r
-40.0 19.65 u
-40.0 21.56 y
-40.0 21.33 z
-39.0 20.06 g
-39.0 20.96 i
-39.0 20.57 r
-39.0 19.58 u
-39.0 21.48 y
-39.0 21.25 z
-38.0 19.99 g
-38.0 20.89 i
-38.0 20.5 r
-38.0 19.51 u
-38.0 21.41 y
