# time mag filter 
-22.00 29.93 u 
-20.90 29.09 u 
-19.80 28.28 u 
-18.70 27.52 u 
-17.60 26.81 u 
-16.50 26.13 u 
-15.40 25.50 u 
-14.30 24.92 u 
-13.20 24.37 u 
-12.10 23.87 u 
-11.00 23.42 u 
 -9.90 23.01 u 
 -8.80 22.64 u 
 -7.70 22.31 u 
 -6.60 22.03 u 
 -5.50 21.79 u 
 -4.40 21.59 u 
 -3.30 21.44 u 
 -2.20 21.33 u 
 -1.10 21.27 u 
 0.00 21.25 u 
 1.10 21.29 u 
 2.20 21.33 u 
 3.30 21.38 u 
 4.40 21.42 u 
 5.50 21.46 u 
 6.60 21.51 u 
 7.70 21.55 u 
 8.80 21.59 u 
 9.90 21.64 u 
 11.00 21.68 u 
 12.10 21.72 u 
 13.20 21.77 u 
 14.30 21.81 u 
 15.40 21.85 u 
 16.50 21.90 u 
 17.60 21.94 u 
 18.70 21.98 u 
 19.80 22.03 u 
 20.90 22.07 u 
 22.00 22.11 u 
 23.10 22.16 u 
 24.20 22.20 u 
 25.30 22.25 u 
 26.40 22.29 u 
 27.50 22.33 u 
 28.60 22.38 u 
 29.70 22.42 u 
 30.80 22.46 u 
 31.90 22.51 u 
 33.00 22.55 u 
 34.10 22.59 u 
 35.20 22.64 u 
 36.30 22.68 u 
 37.40 22.72 u 
 38.50 22.77 u 
 39.60 22.81 u 
 40.70 22.85 u 
 41.80 22.90 u 
 42.90 22.94 u 
 44.00 22.98 u 
 45.10 23.03 u 
 46.20 23.07 u 
 47.30 23.11 u 
 48.40 23.16 u 
 49.50 23.20 u 
 50.60 23.24 u 
 51.70 23.29 u 
 52.80 23.33 u 
 53.90 23.37 u 
 55.00 23.42 u 
 56.10 23.46 u 
 57.20 23.50 u 
 58.30 23.55 u 
 59.40 23.59 u 
 60.50 23.63 u 
 61.60 23.68 u 
 62.70 23.72 u 
 63.80 23.77 u 
 64.90 23.81 u 
 66.00 23.85 u 
 67.10 23.90 u 
 68.20 23.94 u 
 69.30 23.98 u 
 70.40 24.03 u 
 71.50 24.07 u 
 72.60 24.11 u 
 73.70 24.16 u 
 74.80 24.20 u 
 75.90 24.24 u 
 77.00 24.29 u 
 78.10 24.33 u 
 79.20 24.37 u 
 80.30 24.42 u 
 81.40 24.46 u 
 82.50 24.50 u 
 83.60 24.55 u 
 84.70 24.59 u 
 85.80 24.63 u 
 86.90 24.68 u 
 88.00 24.72 u 
 89.10 24.76 u 
 90.20 24.81 u 
 91.30 24.85 u 
 92.40 24.89 u 
 93.50 24.94 u 
 94.60 24.98 u 
 95.70 25.02 u 
 96.80 25.07 u 
 97.90 25.11 u 
 99.00 25.15 u 
100.10 25.20 u 
101.20 25.24 u 
102.30 25.29 u 
103.40 25.33 u 
104.50 25.37 u 
105.60 25.42 u 
106.70 25.46 u 
107.80 25.50 u 
108.90 25.55 u 
-22.00 30.31 g 
