#time magniutde filter
-19.0 28.91 g
-19.0 29.58 i
-19.0 29.27 r
-19.0 28.56 u
-19.0 29.99 y
-19.0 29.81 z
-18.0 27.99 g
-18.0 28.68 i
-18.0 28.36 r
-18.0 27.62 u
-18.0 29.1 y
-18.0 28.91 z
-17.0 26.06 g
-17.0 26.75 i
-17.0 26.44 r
-17.0 25.71 u
-17.0 27.16 y
-17.0 26.98 z
-16.0 24.07 g
-16.0 24.73 i
-16.0 24.43 r
-16.0 23.73 u
-16.0 25.14 y
-16.0 24.95 z
-15.0 22.84 g
-15.0 23.48 i
-15.0 23.18 r
-15.0 22.52 u
-15.0 23.87 y
-15.0 23.7 z
-14.0 22.0 g
-14.0 22.62 i
-14.0 22.33 r
-14.0 21.7 u
-14.0 23.01 y
-14.0 22.83 z
-13.0 21.4 g
-13.0 22.0 i
-13.0 21.72 r
-13.0 21.11 u
-13.0 22.38 y
-13.0 22.21 z
-12.0 20.96 g
-12.0 21.54 i
-12.0 21.27 r
-12.0 20.68 u
-12.0 21.92 y
-12.0 21.75 z
-11.0 20.62 g
-11.0 21.19 i
-11.0 20.92 r
-11.0 20.35 u
-11.0 21.57 y
-11.0 21.4 z
-10.0 20.35 g
-10.0 20.92 i
-10.0 20.65 r
-10.0 20.09 u
-10.0 21.29 y
-10.0 21.12 z
-9.0 20.13 g
-9.0 20.69 i
-9.0 20.42 r
-9.0 19.88 u
-9.0 21.06 y
-9.0 20.89 z
-8.0 19.96 g
-8.0 20.51 i
-8.0 20.24 r
-8.0 19.71 u
-8.0 20.87 y
-8.0 20.71 z
-7.0 19.81 g
-7.0 20.35 i
-7.0 20.09 r
-7.0 19.56 u
-7.0 20.72 y
-7.0 20.55 z
-6.0 19.69 g
-6.0 20.22 i
-6.0 19.96 r
-6.0 19.44 u
-6.0 20.59 y
-6.0 20.42 z
-5.0 19.58 g
-5.0 20.12 i
-5.0 19.86 r
-5.0 19.35 u
-5.0 20.48 y
-5.0 20.31 z
-4.0 19.5 g
-4.0 20.03 i
-4.0 19.77 r
-4.0 19.26 u
-4.0 20.39 y
-4.0 20.22 z
-3.0 19.43 g
-3.0 19.96 i
-3.0 19.7 r
-3.0 19.2 u
-3.0 20.31 y
-3.0 20.15 z
-2.0 19.37 g
-2.0 19.9 i
-2.0 19.64 r
-2.0 19.14 u
-2.0 20.25 y
-2.0 20.09 z
-1.0 19.33 g
-1.0 19.85 i
-1.0 19.6 r
-1.0 19.11 u
-1.0 20.21 y
-1.0 20.05 z
-0.0 19.3 g
-0.0 19.82 i
-0.0 19.57 r
-0.0 19.08 u
-0.0 20.18 y
-0.0 20.02 z
1.0 19.29 g
